"","Sp","Limb.width","Limb.length","Observer"
"1","D. melanogaster",1.449318851,0.098843611,"Oliver R"
"2","H. sapiens",0.647430914,1.471977378,"Albert F"
"3","A. mexicanum",0.122339887,1.882216102,"Kim A"
"4","B. bombina",1.964439432,1.408210897,"Aaron S"
"5","A. carolinensis",1.080623058,1.485150407,"Juno B"
"6","N. benthamiana",0.378181115,1.014198736,"Gaby S"
"7","M. musculus",0.124679051,1.493857867,"Oliver R"
"8","O. latipes",1.277211995,0.467737563,"Albert F"
"9","D. melanogaster",1.150855265,0.656368364,"Kim A"
"10","H. sapiens",1.729427643,0.132665219,"Aaron S"
"11","A. mexicanum",1.344489778,0.813544957,"Juno B"
"12","B. bombina",0.974206354,1.228716075,"Gaby S"
"13","A. carolinensis",1.687803918,1.208239055,"Oliver R"
"14","N. benthamiana",1.899993491,0.926067605,"Albert F"
"15","M. musculus",0.714648287,0.664957595,"Kim A"
"16","O. latipes",0.025301421,7.629920516,"Aaron S"
"17","D. melanogaster",8.574626636,1.180183991,"Juno B"
"18","H. sapiens",5.366669194,2.556308398,"Gaby S"
"19","A. mexicanum",5.330303945,3.230744518,"Oliver R"
"20","B. bombina",7.433419843,7.087333181,"Albert F"
"21","A. carolinensis",1.601826012,4.062849108,"Kim A"
"22","N. benthamiana",2.412460381,1.670709692,"Aaron S"
"23","M. musculus",9.795034169,9.912620219,"Juno B"
"24","O. latipes",2.397560179,2.14062308,"Gaby S"
"25","D. melanogaster",9.054392063,5.758411022,"Oliver R"
"26","H. sapiens",9.768740421,8.054671081,"Albert F"
"27","A. mexicanum",5.749849415,0.178343966,"Kim A"
"28","B. bombina",7.94555435,6.641650404,"Aaron S"
"29","A. carolinensis",0.88334976,4.10733253,"Juno B"
"30","N. benthamiana",1.103890327,0.643333887,"Gaby S"
"31","M. musculus",5.910669717,5.4427254,"Oliver R"
"32","O. latipes",4.231100621,2.519225105,"Albert F"
"33","D. melanogaster",4.019780095,9.252956214,"Kim A"
"34","H. sapiens",1.398665063,2.345123195,"Aaron S"
"35","A. mexicanum",0.41635612,0.93102622,"Juno B"
