"TotalG","Taxon","Scenario","Nutrients"
50220,"japon","low","low"
41710,"japon","low","low"
41810,"japon","low","low"
48270,"japon","low","low"
55420,"japon","low","low"
42680,"japon","low","low"
53530,"japon","low","low"
45890,"japon","low","low"
59020,"japon","low","low"
57660,"japon","low","low"
48980,"bohem","low","low"
35970,"bohem","low","low"
43280,"bohem","low","low"
52270,"bohem","low","low"
45920,"bohem","low","low"
44610,"bohem","low","low"
59130,"bohem","low","low"
58970,"bohem","low","low"
55360,"bohem","low","low"
31460,"bohem","low","low"
43460,"bohem","low","low"
44650,"bohem","low","low"
59690,"bohem","low","low"
57210,"japon","high","high"
34090,"japon","high","high"
58570,"japon","high","high"
59880,"japon","high","high"
54090,"japon","high","high"
55270,"japon","high","high"
53560,"japon","high","high"
52660,"japon","high","high"
45340,"bohem","high","high"
57500,"bohem","high","high"
49550,"bohem","high","high"
56700,"bohem","high","high"
54060,"bohem","high","high"
53710,"japon","gradual","high"
49750,"japon","gradual","high"
58450,"japon","gradual","high"
46630,"japon","gradual","high"
47500,"japon","gradual","high"
54960,"japon","gradual","high"
48990,"bohem","gradual","high"
52010,"bohem","gradual","high"
55780,"bohem","gradual","high"
57180,"bohem","gradual","high"
42470,"bohem","gradual","high"
46180,"bohem","gradual","high"
54360,"bohem","gradual","high"
56340,"bohem","gradual","high"
57800,"japon","extreme","high"
41720,"japon","extreme","high"
58780,"japon","extreme","high"
58420,"japon","extreme","high"
55350,"japon","extreme","high"
50280,"japon","extreme","high"
55040,"japon","extreme","high"
39560,"japon","extreme","high"
45230,"japon","extreme","high"
57200,"japon","extreme","high"
52460,"bohem","extreme","high"
48190,"bohem","extreme","high"
48130,"bohem","extreme","high"
56400,"bohem","extreme","high"
49130,"bohem","extreme","high"
56110,"japon","fluctuations","high"
49780,"japon","fluctuations","high"
50730,"japon","fluctuations","high"
29540,"japon","fluctuations","high"
49120,"japon","fluctuations","high"
31900,"japon","fluctuations","high"
47880,"bohem","fluctuations","high"
51420,"bohem","fluctuations","high"
58130,"bohem","fluctuations","high"
50510,"bohem","fluctuations","high"
54830,"bohem","fluctuations","high"
50310,"bohem","fluctuations","high"
56120,"bohem","fluctuations","high"
